grid_size,cells/sec
610,1.53906e+06
611,1.51157e+06
612,1.15739e+06
613,1.06104e+06
614,1.07736e+06
615,1.08582e+06
616,1.19593e+06
617,1.20956e+06
618,1.07643e+06
619,1.08528e+06
620,1.31435e+06
621,1.13118e+06
622,1.30702e+06
623,1.12713e+06
624,1.02659e+06
625,1.3759e+06
626,1.00779e+06
627,932256
628,1.0882e+06
629,1.10711e+06
630,1.17366e+06
631,1.25987e+06
632,1.14549e+06
633,1.17524e+06
634,1.09406e+06
635,1.07866e+06
636,1.24942e+06
637,1.49694e+06
638,1.02213e+06
639,1.54859e+06
640,1.26509e+06
641,1.24014e+06
642,1.33458e+06
643,1.44561e+06
644,1.62463e+06
645,1.17339e+06
646,1.38801e+06
647,1.33971e+06
648,1.26717e+06
649,1.28972e+06
650,1.14177e+06
651,1.33456e+06
652,1.25594e+06
653,1.41077e+06
654,1.29363e+06
655,1.28133e+06
656,1.02856e+06
657,1.25065e+06
658,1.41504e+06
659,1.33618e+06
660,1.353e+06
661,1.13194e+06
662,1.20714e+06
663,1.2586e+06
664,1.03031e+06
665,1.13177e+06
666,1.25578e+06
667,1.26491e+06
668,1.41999e+06
669,1.4577e+06
670,1.41558e+06
671,1.26696e+06
672,1.33622e+06
673,1.27614e+06
674,1.39609e+06
675,1.32018e+06
676,1.24168e+06
677,1.35392e+06
678,1.31954e+06
679,1.10219e+06
680,1.22463e+06
681,1.13971e+06
682,1.26028e+06
683,1.19104e+06
684,1.29824e+06
685,1.27428e+06
686,1.1944e+06
687,1.17078e+06
688,1.34144e+06
689,1.50043e+06
690,1.49113e+06
691,1.16314e+06
692,1.18759e+06
693,1.20946e+06
694,1.35265e+06
695,1.32775e+06
696,1.49312e+06
697,1.14074e+06
698,1.2447e+06
699,1.30399e+06
700,1.30279e+06
701,1.15742e+06
702,1.1987e+06
703,1.05814e+06
704,874234
705,1.18068e+06
706,1.2738e+06
707,1.21783e+06
708,1.21725e+06
709,1.05079e+06
710,1.03926e+06
711,1.17525e+06
712,1.12288e+06
713,1.17748e+06
714,1.06112e+06
715,1.17782e+06
716,1.35168e+06
717,1.10829e+06
718,1.2293e+06
719,1.18845e+06
720,1.21303e+06
721,931660
722,1.31173e+06
723,1.02025e+06
724,1.3426e+06
725,1.51418e+06
726,1.15633e+06
727,1.08011e+06
728,1.09563e+06
729,1.3929e+06
730,1.24823e+06
731,1.43685e+06
732,1.18679e+06
733,1.31568e+06
734,1.26215e+06
735,1.4133e+06
736,1.31352e+06
737,1.24954e+06
738,1.21746e+06
739,1.03466e+06
740,1.0938e+06
741,1.1943e+06
742,1.18244e+06
743,1.17664e+06
744,1.40596e+06
745,1.42132e+06
746,1.38022e+06
747,1.32901e+06
748,1.28668e+06
749,1.33092e+06
750,1.38266e+06
751,1.48454e+06
752,1.13678e+06
753,1.29737e+06
754,1.2103e+06
755,1.28531e+06
756,1.49733e+06
757,1.32338e+06
758,1.0977e+06
759,1.21051e+06
760,1.30958e+06
761,1.26219e+06
762,1.4025e+06
763,1.17065e+06
764,1.27808e+06
765,1.25227e+06
766,1.19695e+06
767,1.39454e+06
768,926423
769,1.17773e+06
770,1.24617e+06
771,1.27891e+06
772,1.31535e+06
773,1.18136e+06
774,1.24744e+06
775,1.42677e+06
776,1.48297e+06
777,1.32288e+06
778,1.16887e+06
779,1.11759e+06
780,1.2959e+06
781,1.06665e+06
782,1.4476e+06
783,1.17056e+06
784,1.1836e+06
785,1.23403e+06
786,1.19666e+06
787,1.41112e+06
788,1.12411e+06
789,1.27292e+06
790,1.1574e+06
791,1.04977e+06
792,1.40111e+06
793,1.23389e+06
794,1.12068e+06
795,1.15979e+06
796,1.17409e+06
797,1.2176e+06
798,1.14653e+06
799,1.16978e+06
800,1.4251e+06
801,1.17267e+06
802,1.24835e+06
803,1.07894e+06
804,1.29394e+06
805,1.22995e+06
806,1.30778e+06
807,1.39379e+06
808,1.36936e+06
809,1.23023e+06
810,1.2036e+06
811,1.21531e+06
812,1.16653e+06
813,1.15952e+06
814,1.26491e+06
815,1.19636e+06
816,1.1095e+06
817,1.28302e+06
818,1.16243e+06
819,1.21841e+06
820,1.10038e+06
821,1.33734e+06
822,1.29227e+06
823,1.11643e+06
824,1.37878e+06
825,1.20599e+06
826,1.05226e+06
827,1.13074e+06
828,1.35538e+06
829,1.03009e+06
830,1.07483e+06
831,1.11976e+06
832,1.13075e+06
833,1.15957e+06
834,1.19371e+06
835,1.47166e+06
836,1.37131e+06
837,1.25507e+06
838,1.29474e+06
839,1.22879e+06
840,1.24605e+06
841,977220
842,1.21448e+06
843,1.26407e+06
844,1.01398e+06
845,1.25271e+06
846,1.26776e+06
847,1.3104e+06
848,1.22601e+06
849,1.32062e+06
850,1.21948e+06
851,1.35995e+06
852,1.21105e+06
853,1.10152e+06
854,1.14744e+06
855,1.06598e+06
856,1.16509e+06
857,1.21562e+06
858,1.27006e+06
859,1.25061e+06
860,1.27729e+06
861,1.18352e+06
862,1.13009e+06
863,1.05608e+06
864,1.28432e+06
865,1.29842e+06
866,1.09681e+06
867,1.19844e+06
868,979768
869,1.14544e+06
870,1.24628e+06
871,1.42167e+06
872,1.25629e+06
873,1.38032e+06
874,1.24706e+06
875,1.21578e+06
876,1.1661e+06
877,1.32139e+06
878,1.35211e+06
879,1.39833e+06
880,1.17248e+06
881,1.19369e+06
882,1.00597e+06
883,1.24799e+06
884,994815
885,1.19281e+06
886,1.23574e+06
887,1.33845e+06
888,1.12216e+06
889,1.21895e+06
890,1.43902e+06
891,1.1672e+06
892,1.22313e+06
893,1.33034e+06
894,1.12417e+06
895,1.0757e+06
896,1.03813e+06
897,1.26344e+06
898,1.21891e+06
899,1.16871e+06
900,1.22777e+06
901,1.10481e+06
902,1.36716e+06
903,1.19913e+06
904,1.36295e+06
905,1.13444e+06
906,1.14326e+06
907,1.4859e+06
908,1.53875e+06
909,1.36848e+06
910,1.19451e+06
911,1.20899e+06
912,1.12529e+06
913,1.19887e+06
914,1.25078e+06
915,1.57432e+06
916,1.08084e+06
917,1.38785e+06
918,1.30484e+06
919,1.3556e+06
920,1.11199e+06
921,1.17628e+06
922,1.10277e+06
923,1.09639e+06
924,1.22403e+06
925,1.59606e+06
926,1.09064e+06
927,1.10354e+06
928,973374
929,1.02913e+06
930,1.07085e+06
931,1.19096e+06
932,1.20774e+06
933,1.15079e+06
934,1.26366e+06
935,1.21385e+06
936,1.07247e+06
937,1.13477e+06
938,1.55607e+06
939,1.31234e+06
940,1.09423e+06
941,1.05259e+06
942,1.0814e+06
943,1.03389e+06
944,1.20855e+06
945,1.43735e+06
946,1.21187e+06
947,1.34067e+06
948,1.36436e+06
949,1.29401e+06
950,1.10656e+06
951,1.13842e+06
952,1.32204e+06
953,1.32816e+06
954,1.26909e+06
955,964803
956,951433
957,1.00436e+06
958,1.14159e+06
959,1.15711e+06
960,1.26567e+06
961,1.30293e+06
962,1.11145e+06
963,1.09698e+06
964,1.17413e+06
965,1.16109e+06
966,982282
967,1.29932e+06
968,1.15692e+06
969,1.15542e+06
970,953583
971,989216
972,1.15175e+06
973,1.44246e+06
974,1.26112e+06
975,1.16812e+06
976,1.10469e+06
977,1.13324e+06
978,1.17271e+06
979,1.43195e+06
980,1.46468e+06
981,1.482e+06
982,1.22366e+06
983,949831
984,1.02252e+06
985,1.11112e+06
986,1.08323e+06
987,1.3027e+06
988,1.23132e+06
989,1.18242e+06
990,1.208e+06
991,1.33512e+06
992,1.27082e+06
993,1.12159e+06
994,1.08416e+06
995,1.35077e+06
996,1.19454e+06
997,1.29127e+06
998,1.25592e+06
999,1.1528e+06
1000,1.04263e+06
1001,1.04773e+06
1002,1.14033e+06
1003,1.13084e+06
1004,1.15631e+06
1005,1.29715e+06
1006,1.27745e+06
1007,1.14325e+06
1008,1.13058e+06
1009,1.11386e+06
1010,1.27166e+06
1011,1.45791e+06
1012,1.13059e+06
1013,1.25593e+06
1014,1.17598e+06
1015,1.23182e+06
1016,1.1598e+06
1017,1.33784e+06
1018,1.03374e+06
1019,1.45651e+06
1020,1.47532e+06
1021,1.28319e+06
1022,1.27579e+06
1023,1.47347e+06
1024,1.3104e+06
